customer_id,customer_name,industry,customer_segment,country,region,customer_since
CUST_000001,"Rodriguez, Figueroa and Sanchez",Logistics,Small Business,India,Asia Pacific,2021-10-07
CUST_000002,Rhodes PLC,Finance,Mid Market,Canada,Asia Pacific,2021-06-24
CUST_000003,Johnson-Davis,Logistics,Enterprise,Japan,North America,2022-04-12
CUST_000004,"Johnson, Gonzalez and Santos",Retail,Enterprise,Germany,Europe,2023-12-30
CUST_000005,Cole LLC,Finance,Consumer,Sweden,Europe,2025-06-12
CUST_000006,Blake and Sons,Energy,Enterprise,Sweden,North America,2024-11-01
CUST_000007,Ramirez-Lewis,Manufacturing,Mid Market,France,North America,2025-03-12
CUST_000008,Davis Inc,Retail,Enterprise,,Asia Pacific,2022-12-22
CUST_000009,Munoz-Roman,Logistics,Enterprise,Sweden,Latin America,2025-01-03
CUST_000010,"Martinez, Nielsen and Miller",Logistics,Mid Market,India,Europe,2022-08-12
CUST_000011,"Montgomery, Hensley and Ray",Technology,Mid Market,Sweden,Latin America,2024-11-14
CUST_000012,Stanley LLC,Manufacturing,Enterprise,,Asia Pacific,2026-05-31
CUST_000013,Delacruz Group,Finance,Mid Market,Canada,Latin America,2022-07-12
CUST_000014,"Flowers, Martin and Kelly",Manufacturing,,Canada,Europe,2024-09-06
CUST_000015,"Zuniga, Wong and Lynch",Manufacturing,Enterprise,Canada,Latin America,2021-12-10
CUST_000016,"Sanchez, Ford and Nelson",Retail,Mid Market,India,Latin America,2026-01-31
CUST_000017,"Hawkins, Cohen and Cameron",Finance,Small Business,Germany,Europe,2025-04-06
CUST_000018,Underwood LLC,Manufacturing,Mid Market,Japan,Latin America,2023-03-16
CUST_000019,Clark PLC,Healthcare,Mid Market,France,Europe,2025-10-24
CUST_000020,Lewis-Porter,Retail,Enterprise,India,Europe,2025-11-10
CUST_000021,"Ellis, Baker and Wright",,Mid Market,Canada,Europe,2024-02-01
CUST_000022,Burgess-Patterson,Retail,Mid Market,Japan,Asia Pacific,2024-03-16
CUST_000023,Robinson-Bright,Energy,Enterprise,USA,Europe,2023-10-20
CUST_000024,Campos Inc,Finance,Mid Market,Canada,Asia Pacific,2021-11-03
CUST_000025,Conner Group,Finance,Mid Market,USA,Latin America,2024-04-11
CUST_000026,James-Ferrell,Retail,Unknown,USA,North America,2023-11-28
CUST_000027,"Valencia, Smith and Le",,,U.S.A.,Asia Pacific,2024-09-29
CUST_000028,"Potter, Mack and Peterson",Manufacturing,Small Business,Sweden,Latin America,2022-08-12
CUST_000029,Chavez Ltd,Logistics,Small Business,US,Latin America,2025-10-23
CUST_000030,Stanton-Gill,Technology,Small Business,Germany,North America,2023-10-16
CUST_000031,Harrell LLC,Healthcare,Mid Market,US,Latin America,2025-08-16
CUST_000032,"Lynch, Hernandez and Farmer",Logistics,Consumer,Sweden,Europe,2023-12-18
CUST_000033,"Sellers, George and Burns",Manufacturing,Enterprise,India,Europe,2021-08-13
CUST_000034,Koch-Decker,,Small Business,Japan,Europe,2022-09-09
CUST_000035,Allen PLC,Technology,,Germany,North America,2026-03-15
CUST_000036,Dennis Inc,Logistics,Small Business,U.S.A.,North America,2026-05-16
CUST_000037,"Cannon, Anderson and Alvarez",Healthcare,Enterprise,France,Asia Pacific,2024-01-08
CUST_000038,Rose-Obrien,Technology,Mid Market,India,Europe,2026-04-19
CUST_000039,"Campos, Vaughn and Marquez",Healthcare,Mid Market,Germany,Asia Pacific,2023-03-12
CUST_000040,"Santos, Kim and Holmes",Logistics,Mid Market,U.K.,Latin America,2021-08-31
CUST_000041,Brown Inc,Retail,Consumer,India,Asia Pacific,2024-03-26
CUST_000042,Chapman Inc,Finance,Mid Market,United Kingdom,Latin America,2021-05-23
CUST_000043,"Brown, Jones and Johnson",Finance,Enterprise,Germany,Asia Pacific,2022-10-25
CUST_000044,"Young, Caldwell and Lewis",Energy,Consumer,Canada,North America,2021-09-23
CUST_000045,"Johnston, Sanchez and Kennedy",Energy,Small Business,,Latin America,2023-03-28
CUST_000046,Davis Group,Retail,Enterprise,Sweden,Europe,2022-12-12
CUST_000047,Owens-Daniel,Energy,Mid Market,Canada,Asia Pacific,2024-09-12
CUST_000048,"Garcia, Powell and Morgan",Retail,Mid Market,France,North America,2025-09-25
CUST_000049,Lee PLC,Manufacturing,Enterprise,France,North America,2023-06-19
CUST_000050,White-Ford,Retail,Mid Market,Germany,Asia Pacific,2025-10-21
CUST_000051,Ramos PLC,Energy,Mid Market,USA,Europe,2021-07-16
CUST_000052,"Kidd, Huff and Novak",Finance,Small Business,Canada,Latin America,2026-02-02
CUST_000053,Martin Group,Logistics,Enterprise,Japan,Latin America,2023-08-24
CUST_000054,Barrera-Martin,Manufacturing,Mid Market,France,North America,2021-01-05
CUST_000055,Baker-Bowers,Healthcare,Consumer,France,Asia Pacific,2023-07-02
CUST_000056,Horton-Cross,Healthcare,Small Business,United Kingdom,North America,2025-04-21
CUST_000057,"Higgins, Moore and Phillips",Manufacturing,Mid Market,Canada,Europe,2026-04-28
CUST_000058,"Fitzgerald, Brown and Edwards",Retail,Enterprise,U.K.,Latin America,2021-04-11
CUST_000059,Shaw-Farrell,Manufacturing,Small Business,France,Europe,2021-11-12
CUST_000060,"Miller, Lopez and Larson",Finance,Mid Market,Japan,Europe,2024-09-16
CUST_000061,Powell PLC,,Small Business,Germany,Latin America,2022-05-09
CUST_000062,"Williams, Miller and Sandoval",Technology,Enterprise,France,Latin America,2024-02-08
CUST_000063,Donovan-Harris,Finance,Small Business,France,Europe,2024-12-07
CUST_000064,Baker and Sons,Technology,Small Business,Japan,North America,2024-09-09
CUST_000065,Bryant-Hickman,Manufacturing,Mid Market,France,Latin America,2026-02-21
CUST_000066,Ellis PLC,Finance,Consumer,Sweden,Asia Pacific,2026-06-22
CUST_000067,Medina PLC,Retail,Enterprise,Germany,Asia Pacific,2022-06-16
CUST_000068,Ibarra-Suarez,Technology,Mid Market,India,Latin America,2023-01-12
CUST_000069,Kim PLC,Manufacturing,Small Business,Japan,Asia Pacific,2024-11-12
CUST_000070,"Riggs, Roman and Rice",Healthcare,Small Business,Germany,Latin America,2024-09-01
CUST_000071,"Evans, Alvarado and Mcmillan",,,India,Asia Pacific,2021-09-27
CUST_000072,Preston Ltd,Energy,Small Business,India,Latin America,2024-01-15
CUST_000073,Campbell-Clark,Healthcare,Consumer,,Latin America,2022-11-19
CUST_000074,"Walters, Baker and Freeman",Manufacturing,Enterprise,Japan,Europe,2025-12-22
CUST_000075,Davis Group,Retail,Mid Market,Japan,Asia Pacific,2025-07-22
CUST_000076,Smith and Sons,Logistics,Mid Market,Germany,Asia Pacific,2024-07-02
CUST_000077,Martin-Ramos,Technology,Consumer,France,Latin America,2024-11-16
