supplier_id,supplier_name,supplier_category,country,region,performance_rating,contract_status,supplier_since
SUP_00001,"Rodriguez, Figueroa and Sanchez",Professional Services,India,Latin America,1.73,Expired,2021-10-07
SUP_00002,Rhodes PLC,Technology Vendor,United Kingdom,Asia Pacific,1.62,Active,2021-06-24
SUP_00003,Johnson-Davis,Logistics Provider,Japan,North America,1.57,Active,2022-04-12
SUP_00004,"Johnson, Gonzalez and Santos",Logistics Provider,United Kingdom,Europe,,Active,2023-12-30
SUP_00005,Cole LLC,Raw Materials,Sweden,North America,2.22,Active,2025-06-12
SUP_00006,Blake and Sons,Raw Materials,Sweden,North America,3.1,Active,2024-11-01
SUP_00007,Ramirez-Lewis,Logistics Provider,Japan,Latin America,2.47,Active,2025-03-12
SUP_00008,Davis Inc,Equipment Supplier,India,Europe,2.53,Pending Renewal,2022-12-22
SUP_00009,Munoz-Roman,Professional Services,US,Asia Pacific,3.43,Active,2025-01-03
SUP_00010,"Martinez, Nielsen and Miller",Logistics Provider,India,Europe,4.77,Active,2022-08-12
SUP_00011,"Montgomery, Hensley and Ray",Technology Vendor,Canada,North America,1.39,Active,2024-11-14
SUP_00012,Stanley LLC,Logistics Provider,India,Latin America,2.98,Active,2026-05-31
SUP_00013,Delacruz Group,Logistics Provider,France,North America,1.73,Expired,2022-07-12
SUP_00014,"Flowers, Martin and Kelly",Maintenance Provider,France,Europe,3.19,Active,2024-09-06
SUP_00015,"Zuniga, Wong and Lynch",Technology Vendor,India,Europe,2.8,Active,2021-12-10
SUP_00016,"Sanchez, Ford and Nelson",Maintenance Provider,Sweden,Europe,1.78,Active,2026-01-31
SUP_00017,"Hawkins, Cohen and Cameron",Professional Services,Japan,North America,2.09,Expired,2025-04-06
SUP_00018,Underwood LLC,Logistics Provider,Canada,North America,3.43,Active,2023-03-16
SUP_00019,Clark PLC,Professional Services,UK,Asia Pacific,1.3,Pending Renewal,2025-10-24
SUP_00020,Lewis-Porter,Logistics Provider,Japan,North America,2.17,Active,2025-11-10
SUP_00021,"Ellis, Baker and Wright",Equipment Supplier,Germany,North America,4.16,Active,2024-02-01
SUP_00022,Burgess-Patterson,Technology Vendor,Canada,Asia Pacific,1.46,Expired,2024-03-16
SUP_00023,Robinson-Bright,Technology Vendor,Japan,Latin America,1.38,Active,2023-10-20
SUP_00024,Campos Inc,Professional Services,France,Latin America,3.92,Active,2021-11-03
SUP_00025,Conner Group,Raw Materials,Germany,Asia Pacific,2.53,Pending Renewal,2024-04-11
SUP_00026,James-Ferrell,Professional Services,Germany,North America,3.25,Expired,2023-11-28
SUP_00027,"Valencia, Smith and Le",Raw Materials,India,Asia Pacific,3.84,Active,2024-09-29
SUP_00028,"Potter, Mack and Peterson",Equipment Supplier,Sweden,North America,1.13,Active,2022-08-12
SUP_00029,Chavez Ltd,Logistics Provider,Sweden,North America,,Active,2025-10-23
SUP_00030,Stanton-Gill,Equipment Supplier,United Kingdom,Asia Pacific,1.81,Pending Renewal,2023-10-16
SUP_00031,Harrell LLC,Equipment Supplier,India,Asia Pacific,1.64,Pending Renewal,2025-08-16
SUP_00032,"Lynch, Hernandez and Farmer",Raw Materials,UK,Europe,1.42,Active,2023-12-18
SUP_00033,"Sellers, George and Burns",Logistics Provider,Sweden,Latin America,4.57,Active,2021-08-13
SUP_00034,Koch-Decker,Logistics Provider,Canada,Asia Pacific,2.43,Pending Renewal,2022-09-09
SUP_00035,Allen PLC,Equipment Supplier,USA,North America,2.71,Expired,2026-03-15
SUP_00036,Dennis Inc,Maintenance Provider,United States,Asia Pacific,3.04,Active,2026-05-16
SUP_00037,"Cannon, Anderson and Alvarez",Equipment Supplier,United Kingdom,North America,2.08,Active,2024-01-08
SUP_00038,Rose-Obrien,Raw Materials,Germany,Europe,,Active,2026-04-19
SUP_00039,"Campos, Vaughn and Marquez",Logistics Provider,Canada,Latin America,,Active,2023-03-12
SUP_00040,"Santos, Kim and Holmes",Raw Materials,,North America,4.99,Active,2021-08-31
SUP_00041,Brown Inc,Logistics Provider,Canada,Europe,1.21,Active,2024-03-26
SUP_00042,Chapman Inc,Equipment Supplier,United States,North America,3.72,Active,2021-05-23
SUP_00043,"Brown, Jones and Johnson",Maintenance Provider,Canada,Latin America,1.97,Active,2022-10-25
SUP_00044,"Young, Caldwell and Lewis",Equipment Supplier,Germany,Latin America,1.97,Expired,2021-09-23
SUP_00045,"Johnston, Sanchez and Kennedy",Technology Vendor,UK,Latin America,3.53,Active,2023-03-28
SUP_00046,Davis Group,Raw Materials,Japan,Latin America,1.6,Active,2022-12-12
SUP_00047,Owens-Daniel,Equipment Supplier,Japan,North America,3.36,Active,2024-09-12
SUP_00048,"Garcia, Powell and Morgan",Equipment Supplier,Germany,Europe,4.24,Active,2025-09-25
SUP_00049,Lee PLC,Raw Materials,India,Latin America,3.76,Active,2023-06-19
SUP_00050,White-Ford,Raw Materials,Canada,Latin America,3.7,Active,2025-10-21
SUP_00051,Ramos PLC,Maintenance Provider,Canada,Asia Pacific,3.78,Active,2021-07-16
SUP_00052,"Kidd, Huff and Novak",Raw Materials,Japan,Europe,3.07,Active,2026-02-02
SUP_00053,Martin Group,Maintenance Provider,United States,Latin America,4.59,Pending Renewal,2023-08-24
SUP_00054,Barrera-Martin,Raw Materials,Germany,Asia Pacific,2.12,Active,2021-01-05
SUP_00055,Baker-Bowers,Logistics Provider,,Asia Pacific,4.55,Expired,2023-07-02
