customer_id,customer_name,industry,customer_segment,country,region,customer_since
CUST_033554,"Barnes, Chen and Perry",Technology,UNKNOWN,Sweden,North America,2026-04-16
CUST_009428,"Anderson, Wright and Parsons",Healthcare,Mid Market,Sweden,Asia Pacific,2025-07-14
CUST_000200,"Moore, Pierce and Tran",Retail,Consumer,France,Asia Pacific,2021-07-06
CUST_012448,Medina-Andrews,Technology,Small Business,India,Asia Pacific,2025-07-16
CUST_039490,Dominguez-Petty,Automotive,Consumer,Netherlands,North America,2021-07-11
CUST_042725,"Green, Williams and Mayo",Retail,Consumer,Australia,Asia Pacific,2021-09-10
CUST_010823,"Patterson, Rivera and Soto",Manufacturing,Enterprise,United States,Europe,2023-07-01
CUST_049499,"Mcdonald, Arroyo and Williams",Energy,Consumer,France,Asia Pacific,2022-06-01
CUST_004145,Flores-Estrada,Technology,Small Business,Netherlands,North America,2025-07-21
CUST_036959,Simpson Group,Finance,Consumer,Germany,Europe,2021-06-21
CUST_043107,Hess-Robbins,Technology,Mid Market,Germany,Asia Pacific,2023-07-22
CUST_038696,Hart Inc,Manufacturing,UNKNOWN,Australia,Asia Pacific,2021-01-15
CUST_006189,Hart Inc,Manufacturing,Enterprise,United Kingdom,Europe,2021-05-08
CUST_001415,Bentley-Berg,Automotive,Small Business,United Kingdom,Europe,2023-12-13
CUST_018472,Walters-Duarte,Healthcare,Enterprise,UNKNOWN,North America,2025-11-21
CUST_029283,"Dennis, Jennings and Mitchell",Energy,Mid Market,Australia,North America,2024-11-20
CUST_015178,Hull Inc,Automotive,Consumer,Sweden,Europe,2022-07-18
CUST_034305,"Kane, Bennett and Castillo",Automotive,Small Business,Germany,North America,2021-07-17
CUST_012610,Escobar-Roach,Automotive,Mid Market,Canada,Europe,2026-01-23
CUST_012145,Reynolds LLC,Retail,Small Business,Germany,North America,2021-09-26
CUST_006114,"Avila, Weber and Williams",Automotive,Mid Market,United States,Europe,2025-01-23
CUST_015909,"Terrell, Jones and Diaz",Energy,Consumer,United Kingdom,North America,2021-02-19
CUST_000822,Marquez-Fletcher,Healthcare,Enterprise,Japan,North America,2022-07-07
CUST_015119,Perez Group,UNKNOWN,Consumer,Sweden,Europe,2025-03-30
CUST_013467,Matthews-Watson,UNKNOWN,Small Business,Germany,North America,2025-10-30
CUST_026498,Evans-Johnson,Manufacturing,UNKNOWN,France,Asia Pacific,2021-05-21
CUST_042112,Johnson and Sons,Healthcare,Enterprise,Canada,Asia Pacific,2023-09-24
CUST_030189,Phillips Ltd,Manufacturing,Small Business,United States,Europe,2023-06-18
CUST_037238,"Murray, Olsen and Miller",Technology,Consumer,Japan,North America,2025-02-01
CUST_033110,Wood-Wheeler,Technology,Enterprise,France,North America,2024-07-28
CUST_036481,Lawson-Campbell,Technology,Enterprise,Canada,North America,2021-05-11
CUST_024149,"Lee, Olson and Wyatt",Energy,Enterprise,UNKNOWN,Europe,2023-03-23
CUST_005504,Snyder Group,Manufacturing,Small Business,France,North America,2021-04-15
CUST_003919,Young-Sullivan,Finance,UNKNOWN,Netherlands,Europe,2025-04-14
CUST_038479,Burgess-Hobbs,Energy,Small Business,France,North America,2021-01-19
CUST_021124,"Edwards, Johnson and Zuniga",Retail,Mid Market,Germany,North America,2023-08-04
CUST_049718,Alvarez LLC,Retail,Enterprise,Canada,Asia Pacific,2022-09-10
CUST_042295,Ball PLC,Healthcare,Enterprise,Sweden,Europe,2025-07-19
CUST_047610,Stephens LLC,Healthcare,Small Business,France,North America,2024-06-11
CUST_011077,Daugherty and Sons,Energy,Consumer,France,Europe,2024-01-04
CUST_041515,Miranda Inc,Retail,Consumer,Sweden,North America,2024-02-21
CUST_022063,Gonzalez LLC,Logistics,Enterprise,United States,North America,2026-05-19
CUST_009414,Robinson-Smith,Logistics,Consumer,UNKNOWN,Asia Pacific,2024-07-31
CUST_038341,Barnett LLC,Manufacturing,Small Business,Netherlands,North America,2022-12-28
CUST_030264,Mitchell-Williamson,Automotive,Consumer,Japan,Europe,2025-12-03
CUST_041253,"Williams, Hamilton and Barnett",Healthcare,Small Business,France,North America,2023-03-24
CUST_014645,"Tucker, Casey and Winters",Logistics,Consumer,Germany,North America,2024-03-03
CUST_026336,Massey-Richardson,Logistics,UNKNOWN,UNKNOWN,Asia Pacific,2021-09-13
CUST_028103,Olson-Frazier,Finance,Small Business,Netherlands,North America,2024-05-08
CUST_017524,Watkins-Huffman,Manufacturing,Mid Market,India,North America,2021-10-07
CUST_024713,"Preston, Mccoy and Taylor",Technology,Small Business,United States,North America,2021-05-22
CUST_040486,"Kennedy, Smith and Rivera",Retail,Small Business,Australia,North America,2022-12-15
CUST_003851,"Phillips, Nichols and Diaz",Healthcare,Enterprise,France,Asia Pacific,2023-02-10
CUST_040041,"Ball, Richards and Mcintosh",Logistics,Mid Market,Canada,Europe,2022-09-02
CUST_015268,Mason PLC,Technology,Small Business,India,Europe,2022-12-16
CUST_049147,Hamilton-Peterson,Finance,Small Business,Australia,Asia Pacific,2023-09-08
CUST_030002,Martin-Campos,Automotive,Small Business,France,Europe,2024-07-30
CUST_045927,Lynn Group,Technology,Small Business,Canada,Europe,2024-12-28
CUST_043825,"Caldwell, Gonzalez and Dawson",Logistics,Consumer,UNKNOWN,Europe,2025-08-08
CUST_017241,Kelly Ltd,Healthcare,Consumer,Canada,North America,2022-06-16
CUST_004893,"Anderson, Romero and Allen",Logistics,Consumer,Sweden,Europe,2023-09-03
CUST_000726,"Ramos, Anderson and Stein",Technology,UNKNOWN,Germany,North America,2025-07-22
CUST_022950,"Rush, Gardner and Reynolds",Healthcare,Small Business,Canada,Asia Pacific,2024-05-13
CUST_034658,"Mcfarland, Cabrera and Reyes",Technology,Consumer,United Kingdom,Asia Pacific,2025-11-21
CUST_037214,Weaver-Casey,Energy,Mid Market,Australia,North America,2023-07-31
CUST_020305,Sullivan Inc,Energy,Consumer,Australia,Asia Pacific,2022-06-19
CUST_015270,"Williams, Rivera and Meyer",Energy,Small Business,Japan,Europe,2022-10-04
CUST_022368,Williams and Sons,Finance,Consumer,United States,Asia Pacific,2022-07-12
CUST_042685,Pacheco-Wright,Technology,Mid Market,Sweden,Europe,2025-05-03
CUST_046735,Cummings-Soto,Automotive,Mid Market,Canada,Europe,2021-03-27
CUST_011733,"Murray, Hernandez and Cook",Healthcare,Consumer,Germany,Europe,2024-10-25
CUST_018620,"Kane, Carrillo and Hansen",Technology,Mid Market,Germany,Asia Pacific,2024-01-23
CUST_048493,"Orozco, Parker and Lowe",Energy,Mid Market,Canada,Europe,2026-05-20
CUST_026804,"Thomas, Williams and Evans",Logistics,Mid Market,United States,Asia Pacific,2024-03-20
CUST_044306,Cook-Greene,Energy,Enterprise,United Kingdom,Europe,2023-01-30
CUST_047523,"Costa, Roberts and Walker",Manufacturing,Small Business,Australia,Asia Pacific,2023-07-18
CUST_032208,Lawrence-Taylor,Logistics,Small Business,Canada,North America,2021-09-07
CUST_002531,"Rowe, Fox and Anderson",Logistics,Mid Market,Canada,Europe,2022-10-13
CUST_017747,Dean LLC,Healthcare,Consumer,Japan,Europe,2023-11-17
CUST_008271,"Swanson, Christensen and Gomez",Finance,Small Business,Germany,Europe,2025-09-23
CUST_015080,Dixon-Abbott,Finance,UNKNOWN,Australia,Europe,2023-05-31
CUST_013625,Brown LLC,Manufacturing,Mid Market,Japan,Europe,2022-05-08
CUST_030639,Hudson-Ramsey,Manufacturing,Small Business,United States,Europe,2023-06-12
CUST_030441,Lee and Sons,Energy,UNKNOWN,United States,North America,2022-07-30
CUST_036057,"Johnson, Riley and Dudley",Manufacturing,Mid Market,India,North America,2021-08-27
CUST_042652,Reese Ltd,Technology,Consumer,Netherlands,Asia Pacific,2025-12-14
CUST_036804,Quinn Ltd,Energy,Enterprise,France,Asia Pacific,2025-06-30
CUST_048225,Johnson and Sons,UNKNOWN,Mid Market,India,North America,2026-06-04
CUST_029227,Smith Ltd,Technology,Small Business,France,Asia Pacific,2025-08-22
CUST_005634,Stevens Group,Manufacturing,Mid Market,Sweden,Europe,2022-08-10
