transaction_id,transaction_date,account_id,department,transaction_type,amount,currency,vendor,payment_status
FIN_0095220,2024-03-10,ACC_00254,Sales,Revenue,40440.51,INR,UNKNOWN,Completed
FIN_0104242,2024-02-16,ACC_00029,Sales,Operating Expense,21622.15,EUR,Henry LLC,Completed
FIN_0199677,2024-11-24,ACC_00198,Supply Chain,Revenue,43356.22,SEK,Curry and Sons,Completed
FIN_0140200,2021-10-24,ACC_00313,Marketing,Revenue,19297.09,EUR,Archer Group,Completed
FIN_0132815,2021-12-16,ACC_00282,Information Technology,Purchase,32235.41,SEK,"Johnson, Duffy and Smith",Completed
FIN_0408698,2024-08-03,ACC_00115,Human Resources,Operating Expense,10783.08,SEK,"Coleman, Wilson and Hogan",Completed
FIN_0163281,2021-10-11,ACC_00072,Human Resources,Payroll,49227.82,SEK,Medina LLC,Completed
FIN_0215759,2024-06-07,ACC_00400,Supply Chain,Purchase,33167.19,USD,Alexander-Bryant,Completed
FIN_0442317,2026-01-15,ACC_00039,Finance,Payroll,5020.86,INR,Wood Inc,Completed
FIN_0006941,2021-04-26,ACC_00315,Engineering,Payroll,19817.45,INR,Phillips-Riddle,Completed
FIN_0382311,2021-08-23,ACC_00375,Marketing,Purchase,27056.25,SEK,Kelly-Anderson,Completed
FIN_0472237,2026-05-20,ACC_00085,Sales,Payroll,26624.41,EUR,"Maldonado, Page and White",Completed
FIN_0309087,2021-05-06,ACC_00174,Operations,Revenue,21263.86,SEK,Gibson-Jenkins,Completed
FIN_0230673,2025-08-25,ACC_00066,Information Technology,Revenue,97931.09,INR,UNKNOWN,Completed
FIN_0209237,2024-07-08,ACC_00131,Marketing,Purchase,37183.09,SEK,Davis-Bishop,Completed
FIN_0102954,2022-07-09,ACC_00231,Supply Chain,Revenue,86653.58,SEK,"Johnson, Williams and Shaw",Completed
FIN_0419700,2021-05-08,ACC_00170,Supply Chain,Payroll,48981.45,SEK,"Saunders, Rice and Williams",Completed
FIN_0081781,2024-04-23,ACC_00344,Engineering,Operating Expense,44253.92,SEK,"Carter, Williams and Ramirez",Completed
FIN_0274642,2024-01-23,ACC_00058,Supply Chain,Revenue,95371.75,EUR,Richard-Martin,Completed
FIN_0133795,2022-10-12,ACC_00460,Supply Chain,Revenue,22732.44,INR,UNKNOWN,Completed
FIN_0230533,2026-04-21,ACC_00376,Sales,Operating Expense,40453.08,USD,"Brown, Young and Davis",Completed
FIN_0305857,2022-01-18,ACC_00146,Supply Chain,Investment,10981.54,SEK,"Mcneil, Estrada and Martin",Completed
FIN_0194412,2022-08-31,ACC_00222,Human Resources,Purchase,37483.0,USD,"Jefferson, Jones and Bradley",Completed
FIN_0173648,2026-04-01,ACC_00077,Manufacturing,Purchase,42403.15,USD,"Jones, Padilla and Boyd",Completed
FIN_0076147,2022-09-23,ACC_00391,Finance,Operating Expense,39043.01,EUR,Ford and Sons,Completed
FIN_0452805,2025-07-28,ACC_00362,Sales,Purchase,4225.24,INR,Bradley-Thomas,Failed
FIN_0119496,2022-09-28,ACC_00053,Information Technology,Payroll,41381.92,EUR,Li-Buchanan,Completed
FIN_0003750,2021-10-08,ACC_00453,Information Technology,Revenue,76703.67,USD,Hale Inc,Completed
FIN_0158068,2023-08-07,ACC_00402,Information Technology,Payroll,41867.74,INR,"Young, Cole and Gonzalez",Completed
FIN_0423414,2026-06-29,ACC_00153,Operations,Purchase,41454.64,EUR,"Taylor, Harvey and Davis",Completed
FIN_0255716,2021-06-25,ACC_00240,Engineering,Revenue,84827.89,SEK,"Lewis, Fowler and Hicks",Completed
FIN_0081048,2024-12-30,ACC_00182,Supply Chain,Revenue,90861.79,EUR,"Anderson, Hammond and Giles",Completed
FIN_0259442,2023-09-26,ACC_00145,Engineering,Purchase,34410.67,INR,Richards-Alvarez,Completed
FIN_0226643,2026-03-16,ACC_00093,Marketing,Purchase,17327.28,EUR,Johnson-Daniels,Completed
FIN_0080409,2021-10-24,ACC_00312,Human Resources,Operating Expense,12724.19,USD,"Humphrey, Walters and Gonzalez",Completed
FIN_0179266,2026-01-13,ACC_00425,Engineering,Operating Expense,14957.25,INR,Johnson Group,Completed
FIN_0429382,2023-05-28,ACC_00420,Operations,Operating Expense,4565.92,EUR,Johns PLC,Completed
FIN_0443376,2021-08-03,ACC_00122,Finance,Payroll,5969.11,INR,Murphy LLC,Completed
FIN_0136653,2021-12-19,ACC_00309,Finance,Operating Expense,38773.97,SEK,"Lopez, Johnson and Turner",Completed
FIN_0447626,2024-08-31,ACC_00410,Supply Chain,Revenue,63858.13,USD,Wilson LLC,Completed
FIN_0263902,2022-10-24,ACC_00147,Finance,Revenue,55160.75,INR,"Ford, Cole and Ray",Completed
FIN_0340120,2024-10-22,ACC_00238,Manufacturing,Payroll,7220.69,USD,Shannon-Goodman,Completed
FIN_0043172,2026-01-14,ACC_00301,Information Technology,Operating Expense,10407.24,USD,"Edwards, Collins and Williams",Completed
FIN_0246412,2023-11-09,ACC_00226,Engineering,Payroll,23806.92,INR,Allen LLC,Completed
FIN_0314882,2025-10-22,ACC_00487,Operations,Purchase,40395.17,SEK,"Hoover, Rowland and Nolan",Completed
FIN_0302088,2025-07-29,ACC_00319,Supply Chain,Purchase,8501.45,SEK,UNKNOWN,Completed
FIN_0186083,2022-09-06,ACC_00186,Manufacturing,Purchase,31526.33,EUR,Vasquez-Mccall,Completed
FIN_0148767,2023-11-22,ACC_00415,Human Resources,Revenue,7558.33,USD,Stewart-Kane,Completed
FIN_0319416,2026-02-10,ACC_00388,Operations,Payroll,24009.6,EUR,Mcdonald LLC,Completed
FIN_0086173,2024-08-31,ACC_00303,Human Resources,Purchase,11105.76,USD,Jones-Ramirez,Completed
FIN_0133648,2022-03-26,ACC_00004,Supply Chain,Purchase,40046.91,EUR,"Morris, Smith and Morrison",Completed
