production_id,production_date,machine_id,product_id,location_id,shift,units_produced,defect_count,defect_rate,production_hours,production_status
PROD_0004942,2023-08-13,MACH_000400,PROD_00108,LOC_00193,Evening,457,9,0.0197,6.24,Completed
PROD_0051776,2021-02-04,MACH_000220,PROD_02339,LOC_00106,Night,420,10,0.0238,5.44,Completed
PROD_0115254,2021-07-11,MACH_000766,PROD_00948,LOC_00228,Morning,232,4,0.0172,5.6,In Progress
PROD_0299322,2025-06-28,MACH_000252,PROD_02318,LOC_00189,Night,498,6,0.012,8.02,Completed
PROD_0173571,2024-03-02,MACH_000044,PROD_00863,LOC_00250,Morning,395,10,0.0253,3.1,Completed
PROD_0030863,2022-11-07,MACH_001423,PROD_01246,LOC_00167,Night,259,10,0.0386,3.7,Completed
PROD_0244472,2025-06-15,MACH_000422,PROD_00539,LOC_00155,Night,180,7,0.0389,7.9,Completed
PROD_0127795,2022-04-24,MACH_001288,PROD_02614,LOC_00177,Evening,137,4,0.0292,4.23,Completed
PROD_0071559,2025-08-05,MACH_000681,PROD_02524,LOC_00028,Night,268,3,0.0112,11.83,Completed
PROD_0218012,2024-04-17,MACH_000262,PROD_04597,LOC_00044,Evening,249,9,0.0361,8.03,Completed
PROD_0148209,2023-10-08,MACH_001048,PROD_04260,LOC_00104,Morning,162,0,0.0,3.45,Completed
PROD_0155736,2026-05-13,MACH_000717,PROD_03846,LOC_00207,Evening,404,1,0.0025,4.86,Completed
PROD_0100699,2026-04-01,MACH_000061,PROD_03546,LOC_00016,Night,340,11,0.0324,9.93,Completed
PROD_0241404,2023-10-31,MACH_000195,PROD_04746,LOC_00240,Evening,143,0,0.0,6.95,Completed
PROD_0195273,2022-07-03,MACH_000122,PROD_04390,LOC_00180,Morning,443,3,0.0068,10.48,Completed
PROD_0238664,2023-09-29,MACH_000397,PROD_04212,LOC_00047,Evening,387,9,0.0233,8.96,Failed
PROD_0262958,2021-02-04,MACH_000077,PROD_01504,LOC_00006,Evening,417,17,0.0408,11.0,Completed
PROD_0207083,2022-03-09,MACH_000357,PROD_03783,LOC_00090,Evening,220,2,0.0091,5.34,Failed
PROD_0298897,2023-02-13,MACH_001457,PROD_00209,LOC_00240,Evening,210,0,0.0,9.04,Completed
PROD_0220947,2025-07-30,MACH_000685,PROD_02046,LOC_00180,Evening,294,12,0.0408,2.27,Completed
PROD_0074582,2023-10-18,MACH_001039,PROD_03996,LOC_00024,Evening,200,4,0.02,11.56,Completed
PROD_0253579,2021-09-02,MACH_000215,PROD_01403,LOC_00169,Evening,65,0,0.0,6.57,Completed
PROD_0047621,2022-09-17,MACH_000824,PROD_01240,LOC_00199,Night,463,11,0.0238,5.06,Completed
PROD_0092773,2021-12-13,MACH_000850,PROD_03248,LOC_00220,Night,311,0,0.0,2.81,Completed
PROD_0116905,2025-09-02,MACH_000766,PROD_00806,LOC_00198,Morning,307,6,0.0195,11.47,Completed
PROD_0208353,2022-11-22,MACH_000395,PROD_00775,LOC_00233,Evening,265,8,0.0302,6.44,Completed
PROD_0076045,2025-12-31,MACH_001052,PROD_03157,LOC_00042,Morning,367,6,0.0163,7.61,Completed
PROD_0202668,2025-10-24,MACH_000444,PROD_01102,LOC_00067,Morning,406,18,0.0443,8.46,Completed
PROD_0062135,2025-04-05,MACH_000387,PROD_03022,LOC_00186,Morning,142,3,0.0211,10.08,Completed
PROD_0277354,2022-07-05,MACH_000447,PROD_02111,LOC_00018,Evening,462,0,0.0,11.55,Completed
PROD_0064195,2021-04-08,MACH_000607,PROD_03688,LOC_00011,Night,422,8,0.019,3.79,Completed
PROD_0295823,2023-11-01,MACH_000798,PROD_01963,LOC_00146,Evening,344,9,0.0262,5.17,Completed
PROD_0027392,2022-04-03,MACH_001233,PROD_01102,LOC_00186,Morning,405,9,0.0222,5.61,Completed
PROD_0203501,2022-07-11,MACH_001275,PROD_04535,LOC_00201,Morning,225,1,0.0044,3.89,Completed
PROD_0264506,2021-03-06,MACH_000453,PROD_04585,LOC_00100,Morning,97,0,0.0,7.73,Completed
PROD_0297456,2026-05-10,MACH_001242,PROD_00508,LOC_00110,Night,375,5,0.0133,2.32,Completed
PROD_0137986,2026-02-24,MACH_000232,PROD_04326,LOC_00126,Evening,84,2,0.0238,6.72,Completed
PROD_0047623,2025-09-26,MACH_001185,PROD_00109,LOC_00226,Evening,244,1,0.0041,3.69,Completed
PROD_0021912,2023-12-29,MACH_000280,PROD_03074,LOC_00040,Morning,295,3,0.0102,2.02,Completed
PROD_0094182,2022-04-30,MACH_000108,PROD_04832,LOC_00197,Night,234,3,0.0128,11.17,Completed
PROD_0068118,2024-05-22,MACH_000284,PROD_02630,LOC_00250,Evening,99,0,0.0,2.37,Completed
PROD_0039649,2025-06-05,MACH_000438,PROD_03613,LOC_00205,Morning,324,3,0.0093,6.3,Failed
PROD_0073723,2025-11-27,MACH_000579,PROD_01765,LOC_00012,Morning,242,5,0.0207,8.25,Completed
PROD_0133457,2023-04-04,MACH_001283,PROD_04154,LOC_00229,Night,189,4,0.0212,2.65,UNKNOWN
PROD_0030764,2023-01-16,MACH_000178,PROD_03698,LOC_00071,Evening,231,3,0.013,5.89,Completed
PROD_0058097,2026-01-24,MACH_001122,PROD_03692,LOC_00249,Night,248,4,0.0161,9.84,Completed
PROD_0126980,2026-03-07,MACH_000301,PROD_03779,LOC_00051,Morning,95,3,0.0316,5.04,Completed
PROD_0149637,2025-12-31,MACH_001120,PROD_03238,LOC_00164,Night,349,11,0.0315,2.97,UNKNOWN
PROD_0027811,2023-07-17,MACH_000331,PROD_04103,LOC_00019,Evening,154,1,0.0065,11.14,UNKNOWN
PROD_0272002,2021-08-31,MACH_000972,PROD_01604,LOC_00038,Night,468,15,0.0321,7.09,Completed
PROD_0114618,2022-10-06,MACH_000963,PROD_04795,LOC_00189,Morning,370,4,0.0108,10.88,Completed
PROD_0190694,2026-01-06,MACH_000930,PROD_00063,LOC_00241,Night,173,6,0.0347,11.88,Completed
PROD_0219815,2025-03-18,MACH_000121,PROD_01368,LOC_00117,Night,213,6,0.0282,4.74,Completed
PROD_0067165,2024-06-21,MACH_000994,PROD_04018,LOC_00229,Night,84,2,0.0238,6.34,Completed
