transaction_id,customer_id,product_id,location_id,transaction_date,quantity,unit_price,discount_percentage,revenue,sales_channel
TXN_00104242,CUST_014540,PROD_04072,LOC_0009,2023-04-02,9,4306.71,10.0,34884.35,Partner
TXN_00199677,CUST_012853,PROD_03165,LOC_0082,2024-07-09,5,2243.61,20.0,8974.44,Partner
TXN_00140200,CUST_015778,PROD_00006,LOC_0193,2023-11-12,13,1872.25,10.0,21905.32,Partner
TXN_00132815,CUST_037227,PROD_03415,LOC_0209,2023-10-06,9,3624.27,0.0,32618.43,Retail
TXN_00408698,CUST_017384,PROD_00795,LOC_0161,2022-06-28,1,6991.21,20.0,5592.97,Online
TXN_00163281,CUST_035130,PROD_01567,LOC_0102,2025-05-22,11,6685.06,0.0,73535.66,Direct Sales
TXN_00215759,CUST_047671,PROD_00541,LOC_0150,2022-08-08,3,6172.26,20.0,14813.42,Direct Sales
TXN_00442317,CUST_049261,PROD_01130,LOC_0082,2024-11-27,12,1011.24,0.0,12134.88,Online
TXN_00006941,CUST_024750,PROD_01099,LOC_0099,2023-11-25,10,6360.85,0.0,63608.5,Online
TXN_00382311,CUST_046357,PROD_02104,LOC_0054,2024-07-14,10,7701.7,10.0,69315.3,Online
TXN_00472237,CUST_034851,PROD_03459,LOC_0234,2022-09-24,6,3420.98,10.0,18473.29,Partner
TXN_00309087,CUST_030676,PROD_00648,LOC_0015,2022-10-18,3,4069.12,0.0,12207.36,Direct Sales
TXN_00230673,CUST_023991,PROD_01351,LOC_0228,2021-06-16,9,8856.22,5.0,75720.68,Partner
TXN_00209237,CUST_015836,PROD_03816,LOC_0174,2023-01-13,16,1021.88,5.0,15532.58,Partner
TXN_00102954,CUST_006763,PROD_00382,LOC_0096,2025-02-15,15,7027.53,20.0,84330.36,Online
TXN_00419700,CUST_038641,PROD_02883,LOC_0137,2022-09-26,5,4713.12,5.0,22387.32,Direct Sales
TXN_00081781,CUST_027795,PROD_02982,LOC_0153,2024-08-18,4,6315.65,15.0,21473.21,Online
TXN_00274642,CUST_019841,PROD_03702,LOC_0109,2021-09-16,15,6205.02,5.0,88421.54,Online
