year,month_name,monthly_revenue
2021,January  ,227397984.62
2021,February ,202326575.77
2021,March    ,225021775.51
2021,April    ,226755071.32
2021,May      ,232325414.72
2021,June     ,225647595.4
2021,July     ,225881268.72
2021,August   ,231017817.12
2021,September,220205338.14
2021,October  ,231927324.33
2021,November ,217401917.37
2021,December ,228222854.09
2022,January  ,228613934.45
2022,February ,198518440.83
2022,March    ,226022934.78
2022,April    ,223502442.31
2022,May      ,229194576.09
2022,June     ,220123504.52
2022,July     ,229019532.28
2022,August   ,225285365.51
2022,September,225902598.95
2022,October  ,226041120.16
2022,November ,219005712.57
2022,December ,226804245.82
2023,January  ,229746736.88
2023,February ,204210726.13
2023,March    ,227521147.18
2023,April    ,222879974.11
2023,May      ,227894464.68
2023,June     ,216621017.75
2023,July     ,232248110.28
2023,August   ,227252301.94
2023,September,219449436.06
2023,October  ,226997636.49
2023,November ,217708991.5
2023,December ,223475953.61
2024,January  ,227382004.83
2024,February ,217237590.45
2024,March    ,222639667.72
2024,April    ,215799796.83
2024,May      ,232290212.14
2024,June     ,223848678.11
2024,July     ,231863010.83
2024,August   ,228646358.91
2024,September,225374157.15
2024,October  ,237261459.85
2024,November ,219237208.54
2024,December ,225570040.65
2025,January  ,225453286.54
2025,February ,205931290.3
2025,March    ,228868265.41
2025,April    ,217842026.29
2025,May      ,227919984.19
2025,June     ,222864286.55
2025,July     ,223356169.58
2025,August   ,227134508.21
2025,September,219846456.29
2025,October  ,227294548.5
2025,November ,215567461.01
2025,December ,230021561.02
2026,January  ,226255351.49
2026,February ,203996534.08
2026,March    ,231621761.94
2026,April    ,226642580.87
2026,May      ,228043075.68
2026,June     ,222379062.24
