supplier_name,revenue
Davis Group,50402052.53
Gibson Ltd,49233022.25
Williams Inc,48633901.81
Brown LLC,46062489.32
Martinez Inc,38363317.45
Diaz and Sons,38243123.25
Wright-Watson,38161508.27
Davis-Lewis,36067581.54
Davis Inc,36024785.34
"Mccann, Taylor and Flores",36008151.34
Yu-Reid,35464820.37
Smith Ltd,34332176.87
Huerta PLC,34186184.17
Pearson and Sons,34003375.01
Rodriguez Inc,32209100.43
Peck Inc,31718151.16
Maxwell-Hardy,31283277.73
Ballard-Taylor,31022527.26
Chavez-Santiago,30985594.51
"Huff, Williams and Wilson",30675322.02
Jones and Sons,30296926.81
Thompson-James,29565437.9
Owens-Wong,29312979.68
"Wright, Davis and Hayden",29241512.92
Shaw-Young,29235290.76
Smith and Sons,29170666.54
"Preston, Austin and Kelly",28750396.0
Mendoza and Sons,28109766.16
"Rich, Arnold and Glenn",27951125.03
"Kennedy, Santana and Flynn",27841557.94
Hernandez-Becker,27582705.71
Gibson PLC,27490563.57
"Hawkins, Cohen and Cameron",27399337.17
Crawford LLC,27178911.46
Baker-Bowers,27164856.93
Jensen and Sons,27139355.58
"Mccarthy, Evans and Mendez",27136045.46
Smith-Fitzgerald,26968131.69
Davis LLC,26920656.21
Hill-Donaldson,26776547.26
Trevino-Taylor,26543084.62
Francis Group,26386469.81
"Moore, Castro and Mullen",26312967.29
Taylor and Sons,26242196.48
Johnson-Carlson,25948249.42
Thompson-Reeves,25708823.06
"Foster, Smith and Grimes",25700099.6
Li-Santiago,25365681.18
Anderson Group,25354221.19
"White, Taylor and Baldwin",25114899.29
Le Group,25079415.33
Jimenez-Parker,24903912.52
Rogers LLC,24870412.88
Mitchell and Sons,24756313.97
"Quinn, Carter and Marshall",24580547.21
Parks-Morse,24568980.87
Garcia Ltd,24559195.86
Bruce-Newman,24437320.39
Webb-Ballard,24305869.59
Moon-Landry,24292022.7
Stone-Stark,24215197.75
"Turner, Baxter and Mcdowell",24193314.64
Howard-Lopez,24012102.91
Johnston Group,23915955.69
Warren-Baker,23900970.13
Grant Inc,23816574.23
Stephens-Gibbs,23695681.68
David-Powers,23640664.58
White-Richards,23609225.15
Baker and Sons,23561141.01
Jimenez Ltd,23470867.92
"Stephenson, Johnson and Rogers",23463101.19
Davis-Gregory,23437889.49
Alvarado-Martinez,23363857.14
Marshall PLC,23353604.61
Horton-Cross,23289880.24
"Fernandez, Guerrero and Evans",23256738.77
Mccormick Ltd,23254825.64
"Cruz, Carpenter and Best",23251517.08
Ellis PLC,23233069.03
Stone-Watts,23112803.63
"Wiggins, Soto and Carlson",23080146.93
Campbell-Clark,22982154.08
Cunningham LLC,22938255.9
Griffin-Baker,22919488.28
Patterson PLC,22887574.95
Dillon-Beard,22868976.06
"Sanchez, Ford and Nelson",22808565.27
Curtis-Wang,22738161.13
Sutton-Abbott,22685137.91
Salazar-Ball,22647936.74
Jackson-Colon,22612613.06
Martin-Ramos,22590599.01
"Leonard, Hawkins and Lynch",22541081.38
Conner Group,22485230.73
Chan Inc,22455517.88
Richardson Ltd,22364373.85
"Higgins, Fox and Hammond",22329134.36
"Calderon, Williams and Bennett",22325968.08
Campbell LLC,22319074.18
Cole PLC,22318810.3
Tran Ltd,22311516.73
Delacruz Group,22275703.66
"Ramsey, Hansen and Mendoza",22151085.84
Fisher-Eaton,22088768.63
Edwards-Taylor,22076567.33
"Chambers, Mitchell and Smith",22069284.09
"Mueller, Lindsey and Roberts",22041370.52
Robinson-Bright,22022535.56
"Jefferson, Johnson and Dorsey",22013057.85
"Graham, Osborn and Burton",21939988.26
"Rodriguez, Allen and Martinez",21914059.19
"Kidd, Huff and Novak",21770698.26
"Arnold, Cooper and Monroe",21596958.76
Jones LLC,21556390.45
"Dean, Mills and Barnes",21541579.25
