facility_name,revenue
West Ryan Distribution Center,64139559.66
Ashleyton Distribution Center,64071580.04
West Melanieview Manufacturing Plant,63941125.06
Thorntonfurt Manufacturing Plant,63670964.15
North Sierraberg Distribution Center,63489994.68
Bruceborough Distribution Center,63313378.7
Port Brandonville Warehouse,63304477.31
North Brandon Manufacturing Plant,63222116.01
West Brandon Distribution Center,62989590.54
Port Anthonybury Manufacturing Plant,62795660.6
North Donnaport Manufacturing Plant,62771517.36
Port Dana Distribution Center,62526905.99
Smithside Service Center,62360660.82
Lake Jenniferside Warehouse,62240540.59
Port Kyle Distribution Center,62160717.85
New Julieport Warehouse,62124228.3
North Robert Distribution Center,62080783.78
Rivasside Distribution Center,62077142.93
East Edwardshire Headquarters,62013275.16
Jenkinston Service Center,61992050.65
Stephaniemouth Distribution Center,61879612.08
Meganton Manufacturing Plant,61768578.66
West Jasmine Distribution Center,61767203.03
South Jason Manufacturing Plant,61577539.5
Jasonfort Service Center,61568470.6
Arnoldchester Distribution Center,61554503.38
Lake Selena Distribution Center,61537797.7
Robertfort Distribution Center,61521602.86
Jacquelineland Manufacturing Plant,61459485.49
South Robertshire Warehouse,61419396.29
Leonburgh Distribution Center,61417158.39
Alyssaview Manufacturing Plant,61398496.58
Olsonfurt Warehouse,61389975.85
Victoriaport Manufacturing Plant,61347272.82
South Jeffrey Manufacturing Plant,61257806.19
Grimesmouth Warehouse,61248995.09
North Collin Distribution Center,61152773.17
Gregoryview Distribution Center,61136405.47
North Brooke Service Center,61129610.29
Lake Colton Manufacturing Plant,61126746.3
Franciscostad Headquarters,61119444.91
Smithside Headquarters,61112357.74
Kingland Manufacturing Plant,61069557.47
Christinaside Service Center,61063304.68
West Kennethfurt Warehouse,61020832.36
West Margaret Warehouse,60964246.51
East Caleb Warehouse,60929469.8
South Mark Warehouse,60881172.59
Evansshire Warehouse,60805204.83
Port Tonyaton Manufacturing Plant,60764364.9
Kathleenfurt Distribution Center,60741797.66
Williamsbury Headquarters,60737522.09
North Heidi Warehouse,60704729.71
East Carloston Manufacturing Plant,60689171.11
South Susanmouth Headquarters,60660939.84
Scottmouth Distribution Center,60650944.26
Nicholasborough Manufacturing Plant,60631810.17
Martinside Manufacturing Plant,60626018.66
West Michaelton Distribution Center,60603568.9
Cabreraside Distribution Center,60563162.11
Johnsonland Warehouse,60561033.11
Jamesmouth Headquarters,60509498.21
Jamesview Warehouse,60471470.7
North Scott Distribution Center,60455003.79
Vargastown Warehouse,60370551.8
West Erik Service Center,60368615.5
Whitemouth Headquarters,60363772.43
Calhounside Warehouse,60307970.39
Lake Nancyview Manufacturing Plant,60266174.11
