product_name,units_sold,revenue
Synchronized stable array,2473,6236291.82
Operative context-sensitive complexity,2226,6160982.98
Public-key human-resource core,2561,6096273.76
Business-focused secondary encryption,2451,6094912.48
Devolved mission-critical collaboration,2396,5851735.1
Grass-roots transitional circuit,2316,5729597.16
Reactive even-keeled process improvement,2353,5609609.28
Seamless bottom-line Internet solution,2401,5606210.66
Re-contextualized web-enabled challenge,2259,5441832.58
Team-oriented zero-defect matrices,2335,5391101.27
